sentence	entity_01	entity_02	label
 덩샤오핑 은 1997 년 2 월 19 일 장쩌민 을 권력 의 중심 에 올려 놓 은 후 중화인민공화국 베이징 에서 사망 했 다 . 	덩샤오핑	중화인민공화국	40
그 로부터 2 년 뒤 인 1948 년 에 는 조선 반도 총선거 에 기초 하 여 김일성 을 수상 , 박헌영 · 홍명희 등 을 부수상 으로 하 여 1948 년 9 월 9 일  조선민주주의인민공화국 이 공식 적 으로 출범 했 다 . 	홍명희	조선민주주의인민공화국	40
그 로부터 2 년 뒤 인 1948 년 에 는 조선 반도 총선거 에 기초 하 여 김일성 을 수상 , 박헌영 · 홍명희 등 을 부수상 으로 하 여 1948 년 9 월 9 일  조선민주주의인민공화국 이 공식 적 으로 출범 했 다 . 	박헌영	조선민주주의인민공화국	40
 김정일 국방 위원장 이 갑작스럽 게 사망 하 게 되 면서 사실 상 김정 은 이 조선민주주의인민공화국 을 통치 하 게 되 었 다 . 	김정일	조선민주주의인민공화국	40
1987 년 에 는 대 남 공작원 김현희 를 이용 하 여 대한항공 858 편 을 폭파 시키 는 만행 을 저지르 고 , 1996 년 의 강릉 지역 무장 공비 침투 사건 , 1999 년 과 2002 년 에 황해 서북방 에서 각각 발생 한 제 1 연평 해전 과 제 2 연평 해전 , 그리고 2008 년 에 금강산 에서 여행 중 이 던 대한민국 관광객 박왕자 가 피격 당한 2008 년 금강산 관광객 피격 사망 사건 등 여러 사건 사고 가 일어났 다 . 	황해	대한민국	40
일본 수상 으로 는 처음 으로 고이즈미 준이치로 총리 가 조선민주주의인민공화국 을 방문 하 여 김정일 국방 위원장 과 회담 을 나눈 적 이 있 다 . 	김정일	조선민주주의인민공화국	40
최근 조선민주주의인민공화국 은 2009 년 3 월 24 일 에 6 자 회담 의 폐기 가능 성 에 대해 언급 하 고 , 7 월 16 일 김영남 ( 金永南 ) 이 ' 6 자 회담 은 영원히 끝 ' 이라고 하 며 6 자 회담 의 종료 선언 을 했 으나 , 9 월 18 일  김정일 은 양자 및 다자 회담 의 틀 에 대해 재 언급 하 였 다 . 	김정일	조선민주주의인민공화국	40
 테레사 수녀 ( , 1910 년 8 월 26 일 ~ 1997 년 9 월 5 일 ) 는 인도 의 로마 가톨릭교회 수녀 로 , 1950 년 에 인도 의 캘커타 에서 사랑 의 선교회 라는 기독교 계통 비 정부 기구 를 설립 하 였 다 . 	테레사 수녀	인도	40
 테레사 수녀 ( , 1910 년 8 월 26 일 ~ 1997 년 9 월 5 일 ) 는 인도 의 로마 가톨릭교회 수녀 로 , 1950 년 에 인 도 의 캘커타 에서 사랑 의 선교회 라는 기독교 계통 비 정부 기구 를 설립 하 였 다 . 	테레사 수녀	인도	40
 윤보선 ( 尹潽善 , 1897 년 8 월 26 일 ~ 1990 년 7 월 18 일 ) 은 대한민국 의 정치가 이 자 , 제 4 대 대한민국 의 대통령 이 다 . 	윤보선	대한민국	40
1948 년 8 월 15 일  윤보선 은 대한민국 정부 수립 이후 대통령 이승만 으로부터 주 중화민국 대사 권유 를 받 자 그 는 가정 사정 을 핑계 로 거절 하 였 다 . 	윤보선	대한민국	40
1948 년 8 월 15 일 윤보선 은 대한민국 정부 수립 이후 대통령  이승만 으로부터 주 중화민국 대사 권유 를 받 자 그 는 가정 사정 을 핑계 로 거절 하 였 다 . 	이승만	대한민국	40
재고 요청 에 박정희 와 장도영 도 가세 했 고 , 미국 의 만류 도 있 었 다 . 	장도영	미국	40
민주공화당 은 윤보선 을 미국 상원 의원 을 역임 한 존 매카시 의원 의 사상 에 사로잡힌 과격분자 로 규정 하 고 , 그 의 주장 은 얄팍 한 술책 이 며 중상모략 이 라고 비난 하 였 다 . 	존 매카시	미국	40
 윤보선 은 대한민국 역대 대통령 중 취임 기념우표 와 기념주화 가 없 는 유일 한 대통령 이 기 도 하 다 . 	윤보선	대한민국	40
12 월 19 일 - 윤봉길 이 가나자와 시 가나자와 육군 형무소 에서 사망 을 했 다 . 	윤봉길	가나자와 시	40
8 월 3 일 - 수하르토 前 인도네시아 대통령 부패 혐의 로 공식 기소 . 	수하르토	인도네시아	40
* 인도네시아 수하르토 전 대통령 국고유 용 혐의 로 기소 . 	수하르토	인도네시아	40
 에드워드 텔러 ( , , 1908 년 1 월 15 일 ~ 2003 년 9 월 9 일 ) 는 헝가리 에서 태어난 유대 인  미국 물리학자 이 다 . 	에드워드 텔러	미국	40
 데즈카 오사무 ( , 1928 년 11 월 3 일 ~ 1989 년 2 월 9 일 ) 는 일본 의 만화가 이 다 . 	데즈카 오사무	일본	40
공부 에 만 몰두 하 지 않 고 그 는 정치 강연회 가 있 으면 먼 길 이 라도 찾 아서 참석 하 였 고 , 인도 의 마하트마 간디 가 제창 한 비 폭력 무 저항 운동 인 간디이즘 에 감격 하 여 , 생활 에 있 어서 는 간디이즘 을 신조 로 하 여 물품 과 물 , 전기 등 을 절약 했 고 나 를 위한 소비 를 최소한도 줄이 고 그 남 은 것 으로 불우 한 처지 에 있 는 이 들 에게 희사 하 였 다 . 	마하트마 간디	인도	40
 대한민국 의 장관 과 대한민국 국회 부의장 을 지낸 조봉암 은 굴욕감 을 느꼈 지만 순순히 받아들여 ' 인촌 이 그리 하 기 를 원한 다면 내 가 그리 하 겠 다 . ' 하 고 ' 자신 은 공산당 이 아니 다 ' 라는 성명서 를 언론 에 발표 했 다 . 	조봉암	대한민국	40
그해 5 월말 엔도 긴스케 ( 遠藤謹助 ) , 이노우에 마사루 ( 井上勝 ) 등 이른바 장주 5 걸 이 라 불리 는 청년 지사 들 과 함께 영국 에 파견 되 었 다 . 	이노우에 마사루	영국	40
쑹메이링 ( 宋美齡 한어 병음 : S ò ng M ě il í ng , 1897 년 3 월 5 일 ~ 2003 년 10 월 23 일 ) , 한국식 한자 이름 으로 송미령 ) 은 세 명 의 쑹 자매 중 에 한 명 으로 , 중화민국 총통인 장제스 의 부인 이 다 . 	장제스	중화민국	40
1975 년 남편 인 중화민국 총통 장제스 가 사망 하 자 1978 년 타이완 에서 미국 롱아일랜드 의 가족 소유지 로 이주 해 왔 다 . 	장제스	중화민국	40
 찰스 디킨스 는 영국 의 포츠머스 에서 해군 경리국 의 하급 관리 였 던 존 디킨스 와 그 의 아내 엘리자베스 배로 의 슬하 의 여덟 아이 중 둘째 아들 로 태어났 다 . 	찰스 디킨스	영국	40
1492 년 , 제노바 출신 탐험가 크리스토퍼 콜럼버스 는 포르투갈 의 지원 을 얻 지 못하 자 이사벨 1세 의 주도 로 카스티야 와 아라곤 왕국 이 연합 하 여 성립 된 스페인 왕실 과 계약 을 맺 어 카리브 해 제도 까지 다다라 , 원주민 들 과 처음 으로 조우 하 였 다 . 	이사벨 1세	스페인	40
1492 년 , 제노바 출신 탐험가 크리스토퍼 콜럼버스 는 포르투갈 의 지원 을 얻 지 못하 자 이사벨 1 세 의 주도 로 카스티야 와 아라곤 왕국 이 연합 하 여 성립 된 스페인 왕실 과 계약 을 맺 어 카리브 해 제도 까지 다다라 , 원주민 들 과 처음 으로 조우 하 였 다 . 	크리스토퍼 콜럼버스	스페인	40
마틴 루서 킹 2 세 의 비 폭력 저항 주의 와 맬컴 엑스 와 스토클리 카마이클 이 주도 한 과격 주의 로 아프리카 계 미국 인 들 은 흑인 인권 운동 을 전개 했 다 . 	맬컴 엑스	미국	40
1980 년 에 로널드 레이건 이 대통령 에 당선 되 면서 미국 정치 가 우익 화 되 고 대중 들 도 1960 년대 의 히피 문화 에서 보수주의 로 변화 하 였 다 . 	로널드 레이건	미국	40
2001 년 말 , 미군 은 아프가니스탄 전쟁 하 여 탈레반 정권 과 알 카에다 훈련소 를 제거 했 고 2002 년 , 이라크 에 정권 교체 압박 을 가했 다 . ' Old ’ and ‘ New ’ Europeans United : Public Attitudes Towards the Iraq War and US Foreign Policy , John Springford , Centre for European Reform , December 2003 . < / ref > 부시 는 2003 년 에 이라크 를 선제 공격 했 으며 , 과거 미국 의 동맹자 였 던 독재자 사담 후세인 을 제거 했 다 . 	사담 후세인	이라크	40
 존 웨인 과 마릴린 먼 로 는 미국 영화 배우 의 상징 이 며 , 제작가 / 사업가 월트 디즈니 는 애니메이션 를 만들 어 냄 과 동시 에 영화 캐릭터 를 상품 화 시킨 장본인 이 다 . 	존 웨인	미국	40
존 웨인 과 마릴린 먼로 는 미국 영화 배우 의 상징 이 며 , 제작가 / 사업가 월트 디즈니 는 애니메이션 를 만들 어 냄 과 동시 에 영화 캐릭터 를 상품 화 시킨 장본인 이 다 . 	마릴린 먼로	미국	40
존 웨인 과 마릴린 먼 로 는 미국 영화 배우 의 상징 이 며 , 제작가 / 사업가 월트 디즈니 는 애니메이션 를 만들 어 냄 과 동시 에 영화 캐릭터 를 상품 화 시킨 장본인 이 다 . 	월트 디즈니	미국	40
엘비스 프레슬리 , 마이클 잭슨 , 마돈나 와 같 은 미국 의 팝 스타 는 세계 적 인 인기 를 얻 고 있 다 . 	마이클 잭슨	미국	40
흑인 문학 으로 는 랠프 엘리슨 의 《 투명 인간 》 ( Invisible Man , 1952 년 ) 이 20 세기 미국 소설 가운데 불후 의 명작 으로 남 았 다 . 	랠프 엘리슨	미국	40
1959 년 - 대한민국 의 제 15 대 대통령 김대중 의 첫 번 째 부인 차용애 	차용애	대한민국	40
안중근 은 곧바로 러시아 제국 공안 들 에게 피체 되 었 고 최재형 은 안중근 의 이토 히로부미 사살 장소 를 하얼빈 으로 정해 , 일본 이 아닌 러시아 법정 에서 재판 을 받 도록 조치 하 고 , 변호사 인 미하일로프 주필 을 안중근 의 변호인 으로 준비 했 다 . 	최재형	러시아	40
하지만 안중근 이 일본 제국 정부 에 넘겨 져 뤼순 감옥 에 갇혀 1910 년 2 월 14 일 사형 선고 를 받 고 , 같 은 해 3 월 26 일 처형 되 었 으며 , 유해 는 오늘날 현재 까지 도 찾 지 못했 다 . 	안중근	일본 제국	40
1863 년 에 덴마크 왕국 의 빌헬름 공 이 요르요스 1세 로 왕위 에 올랐 으며 , 영국 은 그 의 즉위 선물 로 1864 년 에 이오니아 제도 를 그리스 에 할양 하 였 다 . 	요르요스 1세	그리스	40
그러 는 사이 안드레아스 파판드레우 는 콘스탄티노스 카라만리스 의 신 민주주의 당 에 맞서 범그리스 사회주의 운동 을 창당 하 여 이후 그리스 의 양당 정치 구도 를 이루 었 다 . 	콘스탄티노스 카라만리스	그리스	40
1999 년 - 보리스 옐친 러시아 대통령 사임 , 블라디미르 푸틴 총리 를 직무 대행 으로 임명 . 	보리스 옐친	러시아	40
2006 년 - 前 이라크 대통령  사담 후세인 의 사형 이 집행 되 다 . 	사담 후세인	이라크	40
1968 년 - 제 1 대 유엔 사무총장 , 노르웨이 의 정치인 트뤼그베 리 	트뤼그베 리	노르웨이	40
1863 년 - 미국 대통령 에이브러햄 링컨 이 노예 해방 을 선언 하 다 . 	에이브러햄 링컨	미국	40
1922 년 - 대한민국 의 소설가 , 작가 , 언론인 선우휘 . 	선우휘	대한민국	40
1957 년 - 대한민국 의 군인 지청천 	지청천	대한민국	40
2005 년 - 미국 의 영화배우 루스 워릭 	루스 워릭	미국	40
2016 년 - 대한민국 의 경제학자 신영복 	신영복	대한민국	40
2014 년 - 미국 의 극작가 아미리 바라카 	아미리 바라카	미국	40
2014 년 - 대한민국 의 배우 겸 가수 한지서 	한지서	대한민국	40
2017 년 - 대한민국 의 정치인 이 자 대학교수 박세일 	박세일	대한민국	40
1966 년 - 존슨 아그이이론시 가 나이지리아 의 대통령 직 을 시작 했 다 . 	존슨 아그이이론시	나이지리아	40
1929 년 - 대한민국 14 대 대통령 김영삼 의 영부인 손명순 . 	김영삼	대한민국	40
1819 년 - 시몬 볼리바르 , 대콜롬비아 선포 	시몬 볼리바르	대콜롬비아	40
1969 년 - 대한민국 의 독립 운동가 겸 정치 인 , 제 3 대 대한민국 의 국무총리  장택상 	장택상	대한민국	40
2009 년 - 필리핀 의 전 대통령 코라손 아키노 . 	코라손 아키노	필리핀	40
1453 년 - 스페인 의 장군 곤살로 페르난데스 데 코르도바 . 	곤살로 페르난데스 데 코르도바	스페인	40
1933 년 - 아돌프 히틀러 , 독일 수상 에 취임 . 	아돌프 히틀러	독일	40
2015 년 - 초대 사우디아라비아 국왕 이븐 사우드 의 25 번 째 아들 살만 빈 압둘아지즈 알 사우드 가 제 7 대 사우디아라비아 의 국왕 이 되 다 . 	이븐 사우드	사우디아라비아	40
1923 년 - 대한민국 의 독립 운동가 인 김상옥 	김상옥	대한민국	40
2011 년 - 대한민국 의 소설가 박완서 	박완서	대한민국	40
1961 년 - 대한민국 의 언론 인 조용수 . 	조용수	대한민국	40
1961 년 - 대한민국 의 정치 깡패 곽영주 , 임화수 . 	곽영주	대한민국	40
1961 년 - 대한민국 의 정치 깡패 곽영주 , 임화수 . 	임화수	대한민국	40
2006 년 - 투르크메니스탄 대통령 사파르무라트 니야조프 . 	사파르무라트 니야조프	투르크메니스탄	40
* 이라크 의 전 대통령 사담 후세인 이 이라크 임시 정부 법정 에서 시아파 주민 학살 혐의 로 사형 확정 판결 을 받 았 다 . 	사담 후세인	이라크	40
2011 년 - 이희호 와 현정 은 등 조문단 18 명 이 김정일 조문 을 위해 조선민주주의인민공화국 을 방문 하 였 다 . 	김정일	조선민주주의인민공화국	40
1893 년 - 중화인민공화국 의 국가 주석 마오쩌둥 . 	마오쩌둥	중화인민공화국	40
2011 년 - 조선민주주의인민공화국 국방 위원장  김정일 의 김정일 의 죽음 과 국장 이 평양 에서 엄수 됨 . 	김정일	조선민주주의인민공화국	40
1819 년 - 시몬 볼리바르 가 앙고스투라 ( Angostura , 현재 베네수엘라 의 시우다드 볼리바르 ) 대콜롬비아 의 독립 을 선언 하 다 . 	시몬 볼리바르	대콜롬비아	40
* 조선민주주의인민공화국 의 김정일 국방 위원장 이 오전 8 시 30 분 열차 에서 급성 심근 경색 , 심장 마비 ( 쇼크 ) 등 합병 으로 사망 하 였 다 . 	김정일	조선민주주의인민공화국	40
1998 년 - 대한민국 최초 의 여성 변호사 이태영 	이태영	대한민국	40
2011 년 - 조선민주주의인민공화국 국방 위원회 의 위원장 김정일 	김정일	조선민주주의인민공화국	40
1675 년 - 네덜란드 의 화가 요하네스 페르메이르 . 	요하네스 페르메이르	네덜란드	40
2003 년 - 대한민국 의 아동 문학가 윤석중 . 	윤석중	대한민국	40
2004 년 - 대한민국 의 기업 인 이맹기 	이맹기	대한민국	40
2004 년 - 대한민국 의 정치인 이민우 	이민우	대한민국	40
1991 년 - 사인 방 사건 재판 에서 무기 징역형 선고 를 받 고 복역 하 던 장칭 이 당시 중화인민공화국 의 최고 실세 였 던 장쩌민 이 조치 를 내린 형벌 집행 정지 로 석방 된 동시 에 가택 연금 조치 처분 되 었 다 . 	장칭	중화인민공화국	40
1824 년 - 1824 년 대통령 선거 에서 선거 인 단 수 와 총 득표 수 에서 모두 뒤졌 던 존 퀸시 애덤스 가 미국 의 미국 의 대통령 에 취임 하 다 . 	존 퀸시 애덤스	미국	40
1946 년 - 윈스턴 처칠 이 미국 미주리 주 웨스트민스터 대학교 의 연설 에서 “ 철의 장막 ” 이 라는 말 을 처음 사용 함 . 	윈스턴 처칠	미국	40
1789 년 - 미국 초대 대통령  조지 워싱턴 이 선출 됨 . 	조지 워싱턴	미국	40
2001 년 - 이스라엘 에서 총리 선거 가 실시 되 어 아리엘 샤론 이 당선 되 다 . 	아리엘 샤론	이스라엘	40
2015 년 - 대한민국 의 전 기초 단체장 이 자 영화배우 이대엽 	이대엽	대한민국	40
* 대한민국 의 전 야구 선수 인 임수혁 이 10 년 가까운 투병 생활 끝 에 사망 하 였 다 . 	임수혁	대한민국	40
1983 년 - 조선민주주의인민공화국  이웅평 대위 가 : en : Mikoyan - Gurevich MiG - 19 기 로 대한민국 에 귀순 . 	이웅평	대한민국	40
2015 년 - 러시아 의 야 권 인사 보리스 넴초프 가 크렘린 근교 에서 피살 당하 다 . 	보리스 넴초프	러시아	40
1989 년 - 이란 의 루홀라 호메이니 가 《 악마 의 시 》 의 저자 살만 루시디 에게 사형 을 선고 하 다 . 	루홀라 호메이니	이란	40
1972 년 - 미국 의 리처드 닉슨 대통령 이 소비에트 연방 과 중화인민공화국 을 방문 하 다 . 	리처드 닉슨	미국	40
1728 년 - 표트르 3세 , 러시아 제국 로마노프 왕조 의 7 번 째 군주 . 	표트르 3세	러시아 제국	40
1874 년 - 미국 의 제 13 대 대통령 밀러드 필모어 . 	밀러드 필모어	미국	40
1930 년 - 미국 의 제 27 대 대통령 윌리엄 하워드 태프트 . 	윌리엄 하워드 태프트	미국	40
1985 년 - 대한민국 의 축구 선수 , 축구 감독 김용식 . 	김용식	대한민국	40
2003 년 - 대한민국 의 시인 조병화 . 	조병화	대한민국	40
2014 년 - 대한민국 의 정치 인 선우종원 . 	선우종원	대한민국	40
1967 년 - 인도네시아 의 수카르노 인도네시아 의 대통령 이 수하르토 에게 축출 되 다 . 	수카르노	인도네시아	40
1967 년 - 인도네시아 의 수카르노 인도네시아 의 대통령 이 수하르토 에게 축출 되 다 . 	수하르토	인도네시아	40
1493 년 - 크리스토퍼 콜럼버스 가 아메리카 로 의 1 차 항해 를 마치 고 스페인 으로 돌아오 다 . 	크리스토퍼 콜럼버스	스페인	40
1521 년 - 페르디난드 마젤란 이 필리핀 에 도착 하 다 . 	페르디난드 마젤란	필리핀	40
1935 년 - 아돌프 히틀러 가 베르사유 조약 파기 를 선언 하 고 독일 이 재 무장 하 도록 지시 하 다 . 	아돌프 히틀러	독일	40
1969 년 - 골다 메이어 가 이스라엘 의 이스라엘 의 총리 에 취임 하 다 . 	골다 메이어	이스라엘	40
1913 년 - 중화민국 의 정치 가 쑹자오런 이 상하이 에서 연설 중 저격 당했 다 . 	쑹자오런	중화민국	40
1895 년 - 프랑스 의 뤼미에르 형제 가 파리 시 에서 처음 으로 영화 를 상영 하 다 . 	뤼미에르 형제	프랑스	40
1913 년 - 중화민국 의 정치 인 쑹자오런 . 	쑹자오런	중화민국	40
1962 년 - 대한민국 의 제 4 대 대통령  윤보선 이 국가재건최고회 의 에 사직서 를 제출 하 고 사퇴 하 였 다 . 	윤보선	대한민국	40
2015 년 - 싱가포르 의 정치인 이 자 초대 총리 , 인민 행동당 의 총재  리콴유 	리콴유	싱가포르	40
2010 년 - 특수전여단 한주호 준위 가 대한민국 서해 백령도 부근 천안함 침몰 현장 에서 생존장병 구조 활동 을 벌이 다가 의식 을 잃 고 사망 하 였 다 . 	한주호	대한민국	40
2011 년 - 9 · 11 테러 의 배후 로 지목 된 알카에다 의 지도자 오사마 빈라덴 이 파키스탄 에서 미국 해군 의 특수 부대 에 의해 사살 되 다 . 	오사마 빈라덴	파키스탄	40
1953 년 - 월북 시인 임화 ( 林和 ) , 조선민주주의인민공화국 에서 ' 미국 의 스파이 ' 로 몰려 처형 	임화	조선민주주의인민공화국	40
1948 년 - 미국 의 국무 장관 조지 마셜 이 제안 한 제 2 차 세계 대전 이후 의 유럽 부흥 계획 인 마셜 플랜 이 법률안 으로 채택 되 다 . 	조지 마셜	미국	40
1936 년 - 이탈리아 독재자 베니토 무솔리니 가 추축국 을 선언 하 다 . 	베니토 무솔리니	이탈리아	40
